State,District,Year,Season,Crop,Rainfall,Area,Yield
Andhra Pradesh,VISAKHAPATANAM,2002,Rabi       ,Rice,140.56,2028,3121
Andhra Pradesh,VISAKHAPATANAM,2003,Kharif     ,Rice,856.65,84676,136836
Andhra Pradesh,VISAKHAPATANAM,2003,Rabi       ,Rice,196.56,3961,7811
Andhra Pradesh,VISAKHAPATANAM,2004,Kharif     ,Rice,857,95187,160771
Andhra Pradesh,VISAKHAPATANAM,2004,Rabi       ,Rice,132.7,2621,3701
Andhra Pradesh,VISAKHAPATANAM,2005,Kharif     ,Rice,1330.7,84808,125007
Andhra Pradesh,VISAKHAPATANAM,2005,Rabi       ,Rice,159.7,3821,7073
Andhra Pradesh,VISAKHAPATANAM,2006,Kharif     ,Rice,1117.8,93133,178070
Andhra Pradesh,VISAKHAPATANAM,2006,Rabi       ,Rice,162,2614,5301
Andhra Pradesh,VISAKHAPATANAM,2007,Kharif     ,Rice,1105.3,96000,195000
Andhra Pradesh,VISAKHAPATANAM,2007,Rabi       ,Rice,215.636,3000,6000
Andhra Pradesh,VISAKHAPATANAM,2008,Kharif     ,Rice,676.5,99378,167253
Andhra Pradesh,VISAKHAPATANAM,2008,Rabi       ,Rice,231.3,2679,5090
Andhra Pradesh,VISAKHAPATANAM,2009,Kharif     ,Rice,758.65,65447,69112
Andhra Pradesh,VISAKHAPATANAM,2009,Rabi       ,Rice,256.65,2974,4509
Andhra Pradesh,VISAKHAPATANAM,2010,Kharif     ,Rice,896.56,110289,192378
Andhra Pradesh,VISAKHAPATANAM,2010,Rabi       ,Rice,253.26,7262,9383
Andhra Pradesh,VISAKHAPATANAM,2011,Kharif     ,Rice,986.56,109505,166766
Andhra Pradesh,VISAKHAPATANAM,2011,Rabi       ,Rice,256.5,2617,2973
Andhra Pradesh,VISAKHAPATANAM,2012,Kharif     ,Rice,932.65,98718,141562
Andhra Pradesh,VISAKHAPATANAM,2012,Rabi       ,Rice,213.65,5046,10274
Andhra Pradesh,VIZIANAGARAM,1997,Kharif     ,Rice,745.83,130500,185600
Andhra Pradesh,VIZIANAGARAM,1997,Rabi       ,Rice,268,1000,3200
Andhra Pradesh,VIZIANAGARAM,1998,Kharif     ,Rice,1154.41,133000,295600
Andhra Pradesh,VIZIANAGARAM,1998,Rabi       ,Rice,266.7,3600,13300
Andhra Pradesh,VIZIANAGARAM,1999,Kharif     ,Rice,911.78,132185,250846
Andhra Pradesh,VIZIANAGARAM,1999,Rabi       ,Rice,179.86,1985,6943
Andhra Pradesh,VIZIANAGARAM,2000,Kharif     ,Rice,956.74,129907,214347
Andhra Pradesh,VIZIANAGARAM,2000,Rabi       ,Rice,154.362,2163,5996
Andhra Pradesh,VIZIANAGARAM,2001,Kharif     ,Rice,930.19,106296,199624
Andhra Pradesh,VIZIANAGARAM,2001,Rabi       ,Rice,156.35,3864,10085
Andhra Pradesh,VIZIANAGARAM,2002,Kharif     ,Rice,692.224,93995,115426
Andhra Pradesh,VIZIANAGARAM,2002,Rabi       ,Rice,182.795,594,1558
Andhra Pradesh,VIZIANAGARAM,2003,Kharif     ,Rice,726.63,108694,228366
Andhra Pradesh,VIZIANAGARAM,2003,Rabi       ,Rice,195.85,4382,10679
Andhra Pradesh,VIZIANAGARAM,2004,Kharif     ,Rice,790.5,125205,291352
Andhra Pradesh,VIZIANAGARAM,2004,Rabi       ,Rice,244,2370,3979
Andhra Pradesh,VIZIANAGARAM,2005,Kharif     ,Rice,1153,94336,131127
Andhra Pradesh,VIZIANAGARAM,2005,Rabi       ,Rice,183.5,3750,9529
Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Rice,1116.3,117452,281532
Andhra Pradesh,VIZIANAGARAM,2006,Rabi       ,Rice,157.1,1000,1803
Andhra Pradesh,VIZIANAGARAM,2007,Kharif     ,Rice,1190,124000,362000
Andhra Pradesh,VIZIANAGARAM,2007,Rabi       ,Rice,134.7,3000,7000
Andhra Pradesh,VIZIANAGARAM,2008,Kharif     ,Rice,880.2,128964,307966
Andhra Pradesh,VIZIANAGARAM,2008,Rabi       ,Rice,189,1695,4043
Andhra Pradesh,VIZIANAGARAM,2009,Kharif     ,Rice,892.5,104550,229801
Andhra Pradesh,VIZIANAGARAM,2009,Rabi       ,Rice,156.23,3683,9285
Andhra Pradesh,VIZIANAGARAM,2010,Kharif     ,Rice,958.56,126290,325213
Andhra Pradesh,VIZIANAGARAM,2010,Rabi       ,Rice,165.32,7254,23452
Andhra Pradesh,VIZIANAGARAM,2011,Kharif     ,Rice,956.45,123491,265106
Andhra Pradesh,VIZIANAGARAM,2011,Rabi       ,Rice,145.26,1078,2639
Andhra Pradesh,VIZIANAGARAM,2012,Kharif     ,Rice,875.46,119079,306509
Andhra Pradesh,VIZIANAGARAM,2012,Rabi       ,Rice,102.23,6690,14310
Andhra Pradesh,WEST GODAVARI,1997,Kharif     ,Rice,950.54,247200,630400
Andhra Pradesh,WEST GODAVARI,1997,Rabi       ,Rice,230.29,193600,678100
Andhra Pradesh,WEST GODAVARI,1998,Kharif     ,Rice,916.1,262000,646400
Andhra Pradesh,WEST GODAVARI,1998,Rabi       ,Rice,113.86,194300,849100
Andhra Pradesh,WEST GODAVARI,1999,Kharif     ,Rice,689.06,267083,685440
Andhra Pradesh,WEST GODAVARI,1999,Rabi       ,Rice,66.06,193377,780930
Andhra Pradesh,WEST GODAVARI,2000,Kharif     ,Rice,1190.62,272901,794415
Andhra Pradesh,WEST GODAVARI,2000,Rabi       ,Rice,62.23,198764,858462
Andhra Pradesh,WEST GODAVARI,2001,Kharif     ,Rice,860,222720,576622
Andhra Pradesh,WEST GODAVARI,2001,Rabi       ,Rice,102.91,191480,896509
Andhra Pradesh,WEST GODAVARI,2002,Kharif     ,Rice,663.25,214554,659110
Andhra Pradesh,WEST GODAVARI,2002,Rabi       ,Rice,85.35,117074,506579
Andhra Pradesh,WEST GODAVARI,2003,Kharif     ,Rice,869.56,232235,812590
Andhra Pradesh,WEST GODAVARI,2003,Rabi       ,Rice,123.56,177983,867133
